uwi,event_date,event_type,horizon,field,effect,description
WELL_238,2024-04-18,Change of horizon,D1,East,0.0,Change of horizon for well WELL_238 on horizon D1
WELL_240,2025-02-13,Isolation of water influx,A1,North,0.0,Isolation of water influx for well WELL_240 on horizon A1
WELL_242,2024-03-07,Workover,A3,West,1.55,Workover for well WELL_242 on horizon A3
WELL_242,2024-10-22,Change of horizon,A3,West,0.0,Change of horizon for well WELL_242 on horizon A3
WELL_242,2023-12-13,Treatment of the near-well zone,A3,West,2.39,Treatment of the near-well zone for well WELL_242 on horizon A3
WELL_242,2023-10-22,Well intervention,A3,West,0.0,Well intervention for well WELL_242 on horizon A3
WELL_242,2023-02-13,Optimization,A3,West,0.0,Optimization for well WELL_242 on horizon A3
WELL_245,2024-04-14,Isolation of water influx,B3,North,0.0,Isolation of water influx for well WELL_245 on horizon B3
WELL_245,2023-09-29,Pump replacement,B3,North,0.0,Pump replacement for well WELL_245 on horizon B3
WELL_247,2023-12-14,Well intervention,C2,West,0.0,Well intervention for well WELL_247 on horizon C2
WELL_247,2024-06-14,Hydraulic fracturing,C2,West,2.04,Hydraulic fracturing for well WELL_247 on horizon C2
WELL_247,2024-01-27,Change of horizon,C2,West,0.0,Change of horizon for well WELL_247 on horizon C2
WELL_248,2024-03-31,Isolation of water influx,D1,East,0.0,Isolation of water influx for well WELL_248 on horizon D1
WELL_248,2024-05-29,Workover,D1,East,2.92,Workover for well WELL_248 on horizon D1
WELL_248,2025-03-13,Hydraulic fracturing,D1,East,2.26,Hydraulic fracturing for well WELL_248 on horizon D1
WELL_250,2024-05-24,Change of horizon,A1,North,0.0,Change of horizon for well WELL_250 on horizon A1
WELL_250,2024-01-16,Pump replacement,A1,North,0.0,Pump replacement for well WELL_250 on horizon A1
WELL_252,2023-05-13,Workover,A3,West,1.88,Workover for well WELL_252 on horizon A3
WELL_252,2023-08-04,Treatment of the near-well zone,A3,West,1.5,Treatment of the near-well zone for well WELL_252 on horizon A3
WELL_252,2024-08-13,Workover,A3,West,1.57,Workover for well WELL_252 on horizon A3
WELL_252,2024-06-03,Workover,A3,West,2.24,Workover for well WELL_252 on horizon A3
WELL_252,2024-12-15,Change of horizon,A3,West,0.0,Change of horizon for well WELL_252 on horizon A3
WELL_254,2024-11-21,Optimization,B2,Central,0.0,Optimization for well WELL_254 on horizon B2
WELL_255,2024-09-29,Hydraulic fracturing,B3,North,2.06,Hydraulic fracturing for well WELL_255 on horizon B3
WELL_255,2023-08-04,Pump replacement,B3,North,0.0,Pump replacement for well WELL_255 on horizon B3
WELL_255,2024-01-07,Isolation of water influx,B3,North,0.0,Isolation of water influx for well WELL_255 on horizon B3
WELL_255,2023-07-19,Hydraulic fracturing,B3,North,1.14,Hydraulic fracturing for well WELL_255 on horizon B3
WELL_255,2024-08-22,Pump replacement,B3,North,0.0,Pump replacement for well WELL_255 on horizon B3
WELL_256,2023-08-01,Isolation of water influx,C1,South,0.0,Isolation of water influx for well WELL_256 on horizon C1
WELL_256,2023-03-16,Optimization,C1,South,0.0,Optimization for well WELL_256 on horizon C1
WELL_256,2024-06-19,Workover,C1,South,1.07,Workover for well WELL_256 on horizon C1
WELL_256,2025-01-29,Workover,C1,South,2.09,Workover for well WELL_256 on horizon C1
WELL_256,2024-10-11,Hydraulic fracturing,C1,South,2.42,Hydraulic fracturing for well WELL_256 on horizon C1
WELL_257,2023-11-17,Treatment of the near-well zone,C2,West,1.85,Treatment of the near-well zone for well WELL_257 on horizon C2
WELL_257,2023-12-11,Well intervention,C2,West,0.0,Well intervention for well WELL_257 on horizon C2
WELL_257,2023-12-16,Workover,C2,West,2.1,Workover for well WELL_257 on horizon C2
WELL_257,2023-09-01,Optimization,C2,West,0.0,Optimization for well WELL_257 on horizon C2
WELL_257,2023-12-07,Well intervention,C2,West,0.0,Well intervention for well WELL_257 on horizon C2
WELL_258,2024-03-13,Treatment of the near-well zone,D1,East,2.81,Treatment of the near-well zone for well WELL_258 on horizon D1
WELL_259,2024-06-29,Pump replacement,D2,Central,0.0,Pump replacement for well WELL_259 on horizon D2
WELL_259,2023-02-26,Change of horizon,D2,Central,0.0,Change of horizon for well WELL_259 on horizon D2
WELL_259,2023-08-08,Treatment of the near-well zone,D2,Central,1.85,Treatment of the near-well zone for well WELL_259 on horizon D2
WELL_259,2024-11-27,Change of horizon,D2,Central,0.0,Change of horizon for well WELL_259 on horizon D2
WELL_260,2024-09-24,Treatment of the near-well zone,A1,North,1.86,Treatment of the near-well zone for well WELL_260 on horizon A1
WELL_260,2024-04-05,Well intervention,A1,North,0.0,Well intervention for well WELL_260 on horizon A1
WELL_260,2023-12-18,Workover,A1,North,2.61,Workover for well WELL_260 on horizon A1
WELL_261,2024-07-19,Change of horizon,A2,South,0.0,Change of horizon for well WELL_261 on horizon A2
WELL_261,2025-01-10,Workover,A2,South,2.69,Workover for well WELL_261 on horizon A2
WELL_261,2024-05-28,Isolation of water influx,A2,South,0.0,Isolation of water influx for well WELL_261 on horizon A2
WELL_261,2023-05-04,Isolation of water influx,A2,South,0.0,Isolation of water influx for well WELL_261 on horizon A2
WELL_262,2024-12-13,Workover,A3,West,2.37,Workover for well WELL_262 on horizon A3
WELL_262,2024-04-13,Hydraulic fracturing,A3,West,1.81,Hydraulic fracturing for well WELL_262 on horizon A3
WELL_262,2023-03-19,Hydraulic fracturing,A3,West,1.8,Hydraulic fracturing for well WELL_262 on horizon A3
WELL_263,2024-10-29,Pump replacement,B1,East,0.0,Pump replacement for well WELL_263 on horizon B1
WELL_263,2023-06-02,Hydraulic fracturing,B1,East,2.07,Hydraulic fracturing for well WELL_263 on horizon B1
WELL_263,2024-01-04,Isolation of water influx,B1,East,0.0,Isolation of water influx for well WELL_263 on horizon B1
WELL_264,2023-02-19,Hydraulic fracturing,B2,Central,2.64,Hydraulic fracturing for well WELL_264 on horizon B2
WELL_264,2023-12-10,Workover,B2,Central,2.03,Workover for well WELL_264 on horizon B2
WELL_264,2024-11-08,Well intervention,B2,Central,0.0,Well intervention for well WELL_264 on horizon B2
WELL_264,2024-07-23,Treatment of the near-well zone,B2,Central,2.66,Treatment of the near-well zone for well WELL_264 on horizon B2
WELL_264,2024-05-03,Workover,B2,Central,2.46,Workover for well WELL_264 on horizon B2
WELL_265,2023-06-03,Workover,B3,North,2.17,Workover for well WELL_265 on horizon B3
WELL_265,2024-11-13,Change of horizon,B3,North,0.0,Change of horizon for well WELL_265 on horizon B3
WELL_265,2025-03-24,Optimization,B3,North,0.0,Optimization for well WELL_265 on horizon B3
WELL_265,2024-12-24,Treatment of the near-well zone,B3,North,1.35,Treatment of the near-well zone for well WELL_265 on horizon B3
WELL_266,2024-07-29,Well intervention,C1,South,0.0,Well intervention for well WELL_266 on horizon C1
WELL_266,2024-08-05,Workover,C1,South,2.71,Workover for well WELL_266 on horizon C1
WELL_266,2023-03-07,Treatment of the near-well zone,C1,South,1.06,Treatment of the near-well zone for well WELL_266 on horizon C1
WELL_266,2023-08-15,Optimization,C1,South,0.0,Optimization for well WELL_266 on horizon C1
WELL_267,2024-08-21,Optimization,C2,West,0.0,Optimization for well WELL_267 on horizon C2
WELL_267,2023-12-19,Isolation of water influx,C2,West,0.0,Isolation of water influx for well WELL_267 on horizon C2
WELL_268,2023-11-09,Hydraulic fracturing,D1,East,1.5,Hydraulic fracturing for well WELL_268 on horizon D1
WELL_268,2023-08-11,Optimization,D1,East,0.0,Optimization for well WELL_268 on horizon D1
WELL_268,2023-11-18,Change of horizon,D1,East,0.0,Change of horizon for well WELL_268 on horizon D1
WELL_268,2024-07-04,Optimization,D1,East,0.0,Optimization for well WELL_268 on horizon D1
WELL_268,2025-02-23,Workover,D1,East,1.76,Workover for well WELL_268 on horizon D1
WELL_270,2023-09-28,Change of horizon,A1,North,0.0,Change of horizon for well WELL_270 on horizon A1
WELL_272,2024-12-26,Change of horizon,A3,West,0.0,Change of horizon for well WELL_272 on horizon A3
WELL_272,2023-03-18,Well intervention,A3,West,0.0,Well intervention for well WELL_272 on horizon A3
WELL_272,2024-12-19,Hydraulic fracturing,A3,West,2.81,Hydraulic fracturing for well WELL_272 on horizon A3
WELL_273,2024-12-29,Well intervention,B1,East,0.0,Well intervention for well WELL_273 on horizon B1
WELL_273,2024-01-23,Pump replacement,B1,East,0.0,Pump replacement for well WELL_273 on horizon B1
WELL_273,2023-03-01,Workover,B1,East,1.69,Workover for well WELL_273 on horizon B1
WELL_273,2023-10-20,Pump replacement,B1,East,0.0,Pump replacement for well WELL_273 on horizon B1
WELL_273,2023-02-04,Optimization,B1,East,0.0,Optimization for well WELL_273 on horizon B1
WELL_274,2024-04-22,Optimization,B2,Central,0.0,Optimization for well WELL_274 on horizon B2
WELL_276,2024-05-03,Pump replacement,C1,South,0.0,Pump replacement for well WELL_276 on horizon C1
WELL_276,2023-08-12,Workover,C1,South,2.13,Workover for well WELL_276 on horizon C1
WELL_276,2025-01-22,Workover,C1,South,2.06,Workover for well WELL_276 on horizon C1
WELL_276,2023-11-07,Isolation of water influx,C1,South,0.0,Isolation of water influx for well WELL_276 on horizon C1
WELL_276,2023-09-25,Isolation of water influx,C1,South,0.0,Isolation of water influx for well WELL_276 on horizon C1
WELL_277,2024-06-22,Pump replacement,C2,West,0.0,Pump replacement for well WELL_277 on horizon C2
WELL_278,2023-09-24,Workover,D1,East,1.65,Workover for well WELL_278 on horizon D1
WELL_278,2024-01-08,Treatment of the near-well zone,D1,East,1.06,Treatment of the near-well zone for well WELL_278 on horizon D1
WELL_278,2023-07-24,Hydraulic fracturing,D1,East,1.02,Hydraulic fracturing for well WELL_278 on horizon D1
WELL_278,2024-09-06,Isolation of water influx,D1,East,0.0,Isolation of water influx for well WELL_278 on horizon D1
WELL_279,2023-08-27,Pump replacement,D2,Central,0.0,Pump replacement for well WELL_279 on horizon D2
WELL_279,2024-03-22,Treatment of the near-well zone,D2,Central,1.11,Treatment of the near-well zone for well WELL_279 on horizon D2
WELL_279,2023-04-10,Isolation of water influx,D2,Central,0.0,Isolation of water influx for well WELL_279 on horizon D2
WELL_280,2024-11-07,Well intervention,A1,North,0.0,Well intervention for well WELL_280 on horizon A1
WELL_280,2023-08-13,Workover,A1,North,2.39,Workover for well WELL_280 on horizon A1
WELL_280,2025-01-18,Optimization,A1,North,0.0,Optimization for well WELL_280 on horizon A1
WELL_280,2024-12-09,Optimization,A1,North,0.0,Optimization for well WELL_280 on horizon A1
WELL_280,2024-12-08,Pump replacement,A1,North,0.0,Pump replacement for well WELL_280 on horizon A1
WELL_281,2023-12-16,Pump replacement,A2,South,0.0,Pump replacement for well WELL_281 on horizon A2
WELL_281,2025-02-02,Treatment of the near-well zone,A2,South,2.14,Treatment of the near-well zone for well WELL_281 on horizon A2
WELL_281,2023-03-14,Treatment of the near-well zone,A2,South,2.72,Treatment of the near-well zone for well WELL_281 on horizon A2
WELL_281,2024-04-22,Treatment of the near-well zone,A2,South,1.85,Treatment of the near-well zone for well WELL_281 on horizon A2
WELL_281,2025-01-08,Hydraulic fracturing,A2,South,1.84,Hydraulic fracturing for well WELL_281 on horizon A2
WELL_283,2023-05-27,Hydraulic fracturing,B1,East,2.12,Hydraulic fracturing for well WELL_283 on horizon B1
WELL_283,2024-07-25,Optimization,B1,East,0.0,Optimization for well WELL_283 on horizon B1
WELL_283,2024-07-31,Hydraulic fracturing,B1,East,2.64,Hydraulic fracturing for well WELL_283 on horizon B1
WELL_283,2024-10-10,Optimization,B1,East,0.0,Optimization for well WELL_283 on horizon B1
WELL_283,2023-06-23,Workover,B1,East,2.03,Workover for well WELL_283 on horizon B1
WELL_284,2023-08-04,Isolation of water influx,B2,Central,0.0,Isolation of water influx for well WELL_284 on horizon B2
WELL_284,2023-04-03,Isolation of water influx,B2,Central,0.0,Isolation of water influx for well WELL_284 on horizon B2
WELL_284,2025-02-17,Well intervention,B2,Central,0.0,Well intervention for well WELL_284 on horizon B2
WELL_284,2023-08-09,Change of horizon,B2,Central,0.0,Change of horizon for well WELL_284 on horizon B2
WELL_284,2024-12-29,Change of horizon,B2,Central,0.0,Change of horizon for well WELL_284 on horizon B2
WELL_286,2023-05-27,Workover,C1,South,1.44,Workover for well WELL_286 on horizon C1
WELL_287,2023-12-17,Hydraulic fracturing,C2,West,1.15,Hydraulic fracturing for well WELL_287 on horizon C2
WELL_287,2023-05-30,Isolation of water influx,C2,West,0.0,Isolation of water influx for well WELL_287 on horizon C2
WELL_287,2023-04-21,Isolation of water influx,C2,West,0.0,Isolation of water influx for well WELL_287 on horizon C2
WELL_287,2024-09-21,Change of horizon,C2,West,0.0,Change of horizon for well WELL_287 on horizon C2
WELL_287,2023-05-25,Hydraulic fracturing,C2,West,1.09,Hydraulic fracturing for well WELL_287 on horizon C2
WELL_288,2023-11-03,Change of horizon,D1,East,0.0,Change of horizon for well WELL_288 on horizon D1
WELL_288,2025-03-24,Workover,D1,East,1.81,Workover for well WELL_288 on horizon D1
WELL_288,2023-12-20,Optimization,D1,East,0.0,Optimization for well WELL_288 on horizon D1
WELL_288,2024-09-10,Pump replacement,D1,East,0.0,Pump replacement for well WELL_288 on horizon D1
WELL_290,2024-05-29,Isolation of water influx,A1,North,0.0,Isolation of water influx for well WELL_290 on horizon A1
WELL_291,2023-10-23,Well intervention,A2,South,0.0,Well intervention for well WELL_291 on horizon A2
WELL_291,2023-07-16,Pump replacement,A2,South,0.0,Pump replacement for well WELL_291 on horizon A2
WELL_292,2023-07-08,Hydraulic fracturing,A3,West,2.06,Hydraulic fracturing for well WELL_292 on horizon A3
WELL_292,2024-07-03,Optimization,A3,West,0.0,Optimization for well WELL_292 on horizon A3
WELL_293,2023-10-19,Optimization,B1,East,0.0,Optimization for well WELL_293 on horizon B1
WELL_293,2025-02-02,Isolation of water influx,B1,East,0.0,Isolation of water influx for well WELL_293 on horizon B1
WELL_293,2023-05-11,Workover,B1,East,2.31,Workover for well WELL_293 on horizon B1
WELL_293,2024-05-11,Well intervention,B1,East,0.0,Well intervention for well WELL_293 on horizon B1
WELL_294,2025-01-21,Treatment of the near-well zone,B2,Central,2.54,Treatment of the near-well zone for well WELL_294 on horizon B2
WELL_294,2023-08-06,Change of horizon,B2,Central,0.0,Change of horizon for well WELL_294 on horizon B2
WELL_295,2024-05-09,Treatment of the near-well zone,B3,North,1.18,Treatment of the near-well zone for well WELL_295 on horizon B3
WELL_295,2024-09-08,Pump replacement,B3,North,0.0,Pump replacement for well WELL_295 on horizon B3
WELL_295,2024-09-13,Workover,B3,North,2.93,Workover for well WELL_295 on horizon B3
WELL_295,2023-05-13,Treatment of the near-well zone,B3,North,1.25,Treatment of the near-well zone for well WELL_295 on horizon B3
WELL_295,2024-12-19,Hydraulic fracturing,B3,North,1.89,Hydraulic fracturing for well WELL_295 on horizon B3
WELL_296,2023-03-01,Isolation of water influx,C1,South,0.0,Isolation of water influx for well WELL_296 on horizon C1
WELL_296,2025-02-28,Hydraulic fracturing,C1,South,1.2,Hydraulic fracturing for well WELL_296 on horizon C1
WELL_296,2023-02-28,Hydraulic fracturing,C1,South,2.35,Hydraulic fracturing for well WELL_296 on horizon C1
WELL_296,2024-05-07,Pump replacement,C1,South,0.0,Pump replacement for well WELL_296 on horizon C1
WELL_296,2023-04-05,Hydraulic fracturing,C1,South,2.45,Hydraulic fracturing for well WELL_296 on horizon C1
WELL_298,2025-03-20,Pump replacement,D1,East,0.0,Pump replacement for well WELL_298 on horizon D1
WELL_298,2025-02-06,Hydraulic fracturing,D1,East,1.48,Hydraulic fracturing for well WELL_298 on horizon D1
WELL_298,2024-08-30,Workover,D1,East,1.83,Workover for well WELL_298 on horizon D1
WELL_298,2024-08-02,Change of horizon,D1,East,0.0,Change of horizon for well WELL_298 on horizon D1
WELL_299,2024-01-21,Isolation of water influx,D2,Central,0.0,Isolation of water influx for well WELL_299 on horizon D2
WELL_300,2024-10-08,Well intervention,A1,North,0.0,Well intervention for well WELL_300 on horizon A1
WELL_301,2024-11-29,Pump replacement,A2,South,0.0,Pump replacement for well WELL_301 on horizon A2
WELL_301,2023-09-28,Change of horizon,A2,South,0.0,Change of horizon for well WELL_301 on horizon A2
WELL_301,2023-02-03,Treatment of the near-well zone,A2,South,1.11,Treatment of the near-well zone for well WELL_301 on horizon A2
WELL_301,2023-03-15,Workover,A2,South,2.29,Workover for well WELL_301 on horizon A2
WELL_301,2023-04-02,Hydraulic fracturing,A2,South,1.0,Hydraulic fracturing for well WELL_301 on horizon A2
WELL_302,2024-02-29,Pump replacement,A3,West,0.0,Pump replacement for well WELL_302 on horizon A3
WELL_302,2023-04-13,Treatment of the near-well zone,A3,West,2.78,Treatment of the near-well zone for well WELL_302 on horizon A3
WELL_302,2024-07-08,Isolation of water influx,A3,West,0.0,Isolation of water influx for well WELL_302 on horizon A3
WELL_303,2023-09-22,Well intervention,B1,East,0.0,Well intervention for well WELL_303 on horizon B1
WELL_303,2023-06-30,Isolation of water influx,B1,East,0.0,Isolation of water influx for well WELL_303 on horizon B1
WELL_303,2024-11-27,Workover,B1,East,2.95,Workover for well WELL_303 on horizon B1
WELL_303,2024-11-23,Treatment of the near-well zone,B1,East,2.6,Treatment of the near-well zone for well WELL_303 on horizon B1
WELL_304,2023-02-04,Change of horizon,B2,Central,0.0,Change of horizon for well WELL_304 on horizon B2
WELL_304,2024-06-02,Workover,B2,Central,2.65,Workover for well WELL_304 on horizon B2
WELL_304,2023-02-06,Pump replacement,B2,Central,0.0,Pump replacement for well WELL_304 on horizon B2
WELL_304,2025-03-18,Workover,B2,Central,2.4,Workover for well WELL_304 on horizon B2
WELL_304,2024-11-17,Optimization,B2,Central,0.0,Optimization for well WELL_304 on horizon B2
WELL_305,2023-06-13,Treatment of the near-well zone,B3,North,2.76,Treatment of the near-well zone for well WELL_305 on horizon B3
WELL_305,2024-01-28,Workover,B3,North,2.83,Workover for well WELL_305 on horizon B3
WELL_305,2024-12-09,Workover,B3,North,1.02,Workover for well WELL_305 on horizon B3
WELL_305,2023-05-01,Workover,B3,North,1.18,Workover for well WELL_305 on horizon B3
WELL_305,2023-10-21,Workover,B3,North,1.37,Workover for well WELL_305 on horizon B3
WELL_306,2023-02-26,Well intervention,C1,South,0.0,Well intervention for well WELL_306 on horizon C1
WELL_306,2023-12-06,Pump replacement,C1,South,0.0,Pump replacement for well WELL_306 on horizon C1
WELL_307,2023-05-07,Pump replacement,C2,West,0.0,Pump replacement for well WELL_307 on horizon C2
WELL_307,2024-10-19,Well intervention,C2,West,0.0,Well intervention for well WELL_307 on horizon C2
WELL_307,2024-08-14,Well intervention,C2,West,0.0,Well intervention for well WELL_307 on horizon C2
WELL_308,2023-11-09,Well intervention,D1,East,0.0,Well intervention for well WELL_308 on horizon D1
WELL_308,2024-03-17,Optimization,D1,East,0.0,Optimization for well WELL_308 on horizon D1
WELL_308,2024-01-18,Well intervention,D1,East,0.0,Well intervention for well WELL_308 on horizon D1
WELL_309,2024-03-24,Optimization,D2,Central,0.0,Optimization for well WELL_309 on horizon D2
WELL_309,2025-02-23,Isolation of water influx,D2,Central,0.0,Isolation of water influx for well WELL_309 on horizon D2
WELL_309,2023-09-10,Change of horizon,D2,Central,0.0,Change of horizon for well WELL_309 on horizon D2
WELL_309,2024-08-14,Treatment of the near-well zone,D2,Central,1.09,Treatment of the near-well zone for well WELL_309 on horizon D2
WELL_309,2023-09-25,Hydraulic fracturing,D2,Central,1.46,Hydraulic fracturing for well WELL_309 on horizon D2
WELL_310,2023-08-06,Treatment of the near-well zone,A1,North,1.17,Treatment of the near-well zone for well WELL_310 on horizon A1
WELL_310,2024-09-21,Hydraulic fracturing,A1,North,1.7,Hydraulic fracturing for well WELL_310 on horizon A1
WELL_310,2024-06-30,Optimization,A1,North,0.0,Optimization for well WELL_310 on horizon A1
WELL_311,2023-06-16,Treatment of the near-well zone,A2,South,2.48,Treatment of the near-well zone for well WELL_311 on horizon A2
WELL_311,2023-03-24,Well intervention,A2,South,0.0,Well intervention for well WELL_311 on horizon A2
WELL_311,2023-08-18,Change of horizon,A2,South,0.0,Change of horizon for well WELL_311 on horizon A2
WELL_311,2025-02-18,Isolation of water influx,A2,South,0.0,Isolation of water influx for well WELL_311 on horizon A2
WELL_313,2024-07-27,Pump replacement,B1,East,0.0,Pump replacement for well WELL_313 on horizon B1
WELL_313,2024-05-24,Workover,B1,East,2.55,Workover for well WELL_313 on horizon B1
WELL_313,2023-07-02,Change of horizon,B1,East,0.0,Change of horizon for well WELL_313 on horizon B1
WELL_313,2024-01-31,Hydraulic fracturing,B1,East,1.81,Hydraulic fracturing for well WELL_313 on horizon B1
WELL_314,2024-06-11,Isolation of water influx,B2,Central,0.0,Isolation of water influx for well WELL_314 on horizon B2
WELL_314,2025-01-02,Workover,B2,Central,1.06,Workover for well WELL_314 on horizon B2
WELL_314,2025-02-21,Well intervention,B2,Central,0.0,Well intervention for well WELL_314 on horizon B2
WELL_315,2024-08-31,Pump replacement,B3,North,0.0,Pump replacement for well WELL_315 on horizon B3
WELL_316,2023-03-13,Optimization,C1,South,0.0,Optimization for well WELL_316 on horizon C1
WELL_316,2024-07-12,Change of horizon,C1,South,0.0,Change of horizon for well WELL_316 on horizon C1
WELL_316,2024-08-18,Workover,C1,South,2.99,Workover for well WELL_316 on horizon C1
WELL_316,2024-03-10,Change of horizon,C1,South,0.0,Change of horizon for well WELL_316 on horizon C1
WELL_317,2023-03-26,Optimization,C2,West,0.0,Optimization for well WELL_317 on horizon C2
WELL_317,2023-07-28,Well intervention,C2,West,0.0,Well intervention for well WELL_317 on horizon C2
WELL_317,2024-12-01,Isolation of water influx,C2,West,0.0,Isolation of water influx for well WELL_317 on horizon C2
WELL_317,2023-07-12,Pump replacement,C2,West,0.0,Pump replacement for well WELL_317 on horizon C2
WELL_318,2024-06-21,Treatment of the near-well zone,D1,East,2.03,Treatment of the near-well zone for well WELL_318 on horizon D1
WELL_318,2024-11-27,Pump replacement,D1,East,0.0,Pump replacement for well WELL_318 on horizon D1
WELL_318,2025-03-21,Isolation of water influx,D1,East,0.0,Isolation of water influx for well WELL_318 on horizon D1
WELL_320,2023-09-07,Hydraulic fracturing,A1,North,1.48,Hydraulic fracturing for well WELL_320 on horizon A1
WELL_321,2025-02-11,Well intervention,A2,South,0.0,Well intervention for well WELL_321 on horizon A2
WELL_321,2024-06-08,Treatment of the near-well zone,A2,South,1.33,Treatment of the near-well zone for well WELL_321 on horizon A2
WELL_321,2024-11-22,Pump replacement,A2,South,0.0,Pump replacement for well WELL_321 on horizon A2
WELL_321,2024-02-14,Workover,A2,South,1.69,Workover for well WELL_321 on horizon A2
WELL_322,2023-04-07,Hydraulic fracturing,A3,West,1.96,Hydraulic fracturing for well WELL_322 on horizon A3
WELL_322,2025-01-07,Isolation of water influx,A3,West,0.0,Isolation of water influx for well WELL_322 on horizon A3
WELL_322,2023-11-07,Change of horizon,A3,West,0.0,Change of horizon for well WELL_322 on horizon A3
WELL_322,2023-04-02,Change of horizon,A3,West,0.0,Change of horizon for well WELL_322 on horizon A3
WELL_322,2023-06-21,Workover,A3,West,1.5,Workover for well WELL_322 on horizon A3
WELL_323,2024-07-22,Pump replacement,B1,East,0.0,Pump replacement for well WELL_323 on horizon B1
WELL_323,2023-03-23,Isolation of water influx,B1,East,0.0,Isolation of water influx for well WELL_323 on horizon B1
WELL_323,2023-09-20,Workover,B1,East,1.9,Workover for well WELL_323 on horizon B1
WELL_324,2023-08-10,Pump replacement,B2,Central,0.0,Pump replacement for well WELL_324 on horizon B2
WELL_324,2024-10-07,Pump replacement,B2,Central,0.0,Pump replacement for well WELL_324 on horizon B2
WELL_324,2023-09-13,Optimization,B2,Central,0.0,Optimization for well WELL_324 on horizon B2
WELL_324,2024-06-17,Pump replacement,B2,Central,0.0,Pump replacement for well WELL_324 on horizon B2
WELL_324,2024-02-05,Optimization,B2,Central,0.0,Optimization for well WELL_324 on horizon B2
WELL_325,2024-07-10,Hydraulic fracturing,B3,North,1.49,Hydraulic fracturing for well WELL_325 on horizon B3
WELL_326,2023-10-24,Change of horizon,C1,South,0.0,Change of horizon for well WELL_326 on horizon C1
WELL_326,2025-02-01,Pump replacement,C1,South,0.0,Pump replacement for well WELL_326 on horizon C1
WELL_326,2024-07-03,Workover,C1,South,1.42,Workover for well WELL_326 on horizon C1
WELL_327,2024-09-07,Hydraulic fracturing,C2,West,2.14,Hydraulic fracturing for well WELL_327 on horizon C2
WELL_327,2023-06-08,Workover,C2,West,1.5,Workover for well WELL_327 on horizon C2
WELL_327,2023-12-07,Change of horizon,C2,West,0.0,Change of horizon for well WELL_327 on horizon C2
WELL_327,2024-02-11,Isolation of water influx,C2,West,0.0,Isolation of water influx for well WELL_327 on horizon C2
WELL_328,2024-06-27,Optimization,D1,East,0.0,Optimization for well WELL_328 on horizon D1
WELL_328,2024-04-30,Hydraulic fracturing,D1,East,2.11,Hydraulic fracturing for well WELL_328 on horizon D1
WELL_329,2023-03-30,Change of horizon,D2,Central,0.0,Change of horizon for well WELL_329 on horizon D2
WELL_329,2024-07-01,Pump replacement,D2,Central,0.0,Pump replacement for well WELL_329 on horizon D2
WELL_329,2024-10-18,Hydraulic fracturing,D2,Central,2.69,Hydraulic fracturing for well WELL_329 on horizon D2
WELL_329,2024-07-10,Hydraulic fracturing,D2,Central,1.97,Hydraulic fracturing for well WELL_329 on horizon D2
WELL_330,2023-08-24,Treatment of the near-well zone,A1,North,2.34,Treatment of the near-well zone for well WELL_330 on horizon A1
WELL_330,2023-08-11,Workover,A1,North,1.71,Workover for well WELL_330 on horizon A1
WELL_330,2024-05-10,Optimization,A1,North,0.0,Optimization for well WELL_330 on horizon A1
WELL_332,2023-06-06,Hydraulic fracturing,A3,West,2.64,Hydraulic fracturing for well WELL_332 on horizon A3
WELL_332,2023-08-19,Workover,A3,West,1.77,Workover for well WELL_332 on horizon A3
WELL_333,2023-08-25,Change of horizon,B1,East,0.0,Change of horizon for well WELL_333 on horizon B1
WELL_333,2023-11-11,Hydraulic fracturing,B1,East,2.95,Hydraulic fracturing for well WELL_333 on horizon B1
WELL_335,2024-03-18,Treatment of the near-well zone,B3,North,2.01,Treatment of the near-well zone for well WELL_335 on horizon B3
WELL_335,2025-02-02,Change of horizon,B3,North,0.0,Change of horizon for well WELL_335 on horizon B3
WELL_336,2024-09-24,Optimization,C1,South,0.0,Optimization for well WELL_336 on horizon C1
WELL_336,2024-11-15,Workover,C1,South,1.46,Workover for well WELL_336 on horizon C1
WELL_336,2023-03-31,Treatment of the near-well zone,C1,South,2.7,Treatment of the near-well zone for well WELL_336 on horizon C1
WELL_338,2024-09-26,Isolation of water influx,D1,East,0.0,Isolation of water influx for well WELL_338 on horizon D1
WELL_338,2024-05-24,Isolation of water influx,D1,East,0.0,Isolation of water influx for well WELL_338 on horizon D1
WELL_338,2024-03-05,Treatment of the near-well zone,D1,East,1.53,Treatment of the near-well zone for well WELL_338 on horizon D1
WELL_338,2023-06-21,Well intervention,D1,East,0.0,Well intervention for well WELL_338 on horizon D1
WELL_338,2025-03-29,Isolation of water influx,D1,East,0.0,Isolation of water influx for well WELL_338 on horizon D1
WELL_340,2023-07-08,Hydraulic fracturing,A1,North,2.59,Hydraulic fracturing for well WELL_340 on horizon A1
WELL_340,2023-03-13,Optimization,A1,North,0.0,Optimization for well WELL_340 on horizon A1
WELL_342,2024-10-03,Well intervention,A3,West,0.0,Well intervention for well WELL_342 on horizon A3
WELL_342,2024-09-03,Change of horizon,A3,West,0.0,Change of horizon for well WELL_342 on horizon A3
WELL_343,2023-12-08,Workover,B1,East,1.33,Workover for well WELL_343 on horizon B1
WELL_344,2024-08-12,Change of horizon,B2,Central,0.0,Change of horizon for well WELL_344 on horizon B2
WELL_344,2023-05-17,Well intervention,B2,Central,0.0,Well intervention for well WELL_344 on horizon B2
